Eng,Module,Chinese
crayon,M1,蜡笔
eraser,M1,橡皮擦
glove,M1,手套
wallet,M1,钱包
watch,M1,表;手表;看
whose,M1,谁的
first of all,M1,首先;第一
lose,M1,失去
find,M1,发现; 找到
lost and found box,M1,失物招领箱
mine,M1,我的
yours,M1,你的;你们的
tape,M1,录音带;录像带
purple,M1,紫色的;紫红色的;紫色;紫红色
hers,M1,她的
careful,M1,仔细的;认真的;小心的
be careful with,M1,小心.....;小心对待......
on,M1,从某时刻起
from now on,M1,从现在开始
here is/are,M1,在这儿
camera,M1,照相机
phone,M1,电话;电话机
mobile phone,M1,移动电话; 手机
lost and found office,M1,失物招领处
in a hurry,M1,匆匆忙忙
leave,M1,丢下; 遗忘
plane,M1,飞机
taxi,M1,出租车
why,M1,为什么
airport,M1,机场;航空港
hundred,M1,百
hundreds of,M1,几百; 成百上千
look for,M1,寻找
thousand,M1,千
strange,M1,奇怪的
boat,M1,船
duck,M1,鸭
pig,M1,猪
sausage,M1,香肠;腊肠
play,M2,演奏;弹奏
tennis,M2,网球
piano,M2,钢琴
ride,M2,骑;乘
club,M2,俱乐部
term,M2,学期
board,M2,布告板
would like,M2,想要;希望
well,M2,噢;呢;好
all,M2,所有的;全部的
that's all,M2,仅此而已
worry,M2,焦虑;担心
worry about,M2,担心……
teach,M2,教;讲
then,M2,那么;就
monitor,M2,班长;监督员;显示器
start,M2,开始;开端
get on well with sb.,M2,与某人相处融洽
ready,M2,乐意的;准备好了
ready to do sth,M2,乐于做某事
promise,M2,承诺;保证
fast,M2,快地;快速地;快的;快速的
fit,M2,健康的;强健的
just,M2,就;正好
ball,M2,球;球类游戏
game,M2,运动项目
team,M2,队伍;球队
best,M2,最好的
score,M2,得分;成绩
tidy,M2,整齐的;整洁的;爱整洁的;爱整齐的;收拾;整理
sure,M2,确信的;有把握的
everybody,M2,每个人
just like,M2,正如;正像
beautiful,M2,美的;美丽的
fly,M2,放飞;飞行;乘飞机
kite,M2,风筝
swim,M2,游泳
go over,M3,复习;练习
picnic,M3,野餐
housework,M3,家务劳动
on,M3,在……时候;上面;在…… 之上
else,M3,其他;另外
nobody,M3,没有人
at,M3,在……点钟；在……时候
nothing,M3,没有什么; 没有东西
silly,M3,愚蠢的; 傻气的
fantastic,M3,极好的
forward,M3,面向未来的; 向前
look forward to,M3,盼望
fan,M3,迷;支持者
make friends,M3,交朋友
shirt,M3,球衣; (男式)衬衫
cheer,M3,为……喝彩
player,M3,运动员;选手;玩家
hope,M3,希望
win,M3,赢;获胜
enjoy oneself,M3,过得愉快
myself,M3,我自己
during,M3,在......期间
May,M3,5月
May Day,M3,五一劳动节
late,M3,迟;晚；迟到;迟的;晚的
walk,M3,步行; 走
take a walk,M3,散步
country,M3,乡下; 乡村;国家
second,M3,第二
collect,M3,收集
litter,M3,垃圾
fun,M3,娱乐;乐趣
summer holiday,M3,暑假
camp,M3,营地;帐篷
Australian,M3,澳大利亚的
sightseeing,M3,观光; 游览
go sightseeing,M3,观光
beach,M3,海滨;海滩
early,M3,早;提前; 早的
