Eng,Module,Chinese
go over,M3,复习;练习
picnic,M3,野餐
housework,M3,家务劳动
on,M3,在……时候;上面;在…… 之上
else,M3,其他;另外
nobody,M3,没有人
at,M3,在……点钟；在……时候
nothing,M3,没有什么; 没有东西
silly,M3,愚蠢的; 傻气的
fantastic,M3,极好的
forward,M3,面向未来的; 向前
look forward to,M3,盼望
fan,M3,迷;支持者
make friends,M3,交朋友
shirt,M3,球衣; (男式)衬衫
cheer,M3,为……喝彩
player,M3,运动员;选手;玩家
hope,M3,希望
win,M3,赢;获胜
enjoy oneself,M3,过得愉快
myself,M3,我自己
during,M3,在......期间
May,M3,5月
May Day,M3,五一劳动节
late,M3,迟;晚；迟到;迟的;晚的
walk,M3,步行; 走
take a walk,M3,散步
country,M3,乡下; 乡村;国家
second,M3,第二
collect,M3,收集
litter,M3,垃圾
fun,M3,娱乐;乐趣
summer holiday,M3,暑假
camp,M3,营地;帐篷
Australian,M3,澳大利亚的
sightseeing,M3,观光; 游览
go sightseeing,M3,观光
beach,M3,海滨;海滩
early,M3,早;提前; 早的
